ELI,title,summary
DU/2024/138,Obwieszczenie Ministra Zdrowia z dnia 26 stycznia 2024 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Zdrowia w sprawie niepożądanych odczynów poszczepiennych oraz kryteriów ich rozpoznawania,"Akt prawny określa rodzaje niepożądanych odczynów poszczepiennych (NOP) i kryteria ich rozpoznawania, sposób zgłaszania NOP, wzory formularzy zgłoszeń oraz sposób prowadzenia rejestru zgłoszeń NOP. Określa też sposoby udostępniania danych z rejestru i okres ich przechowywania. Lekarze i felczerzy są zobowiązani do zgłaszania NOP w sposób elektroniczny, za pomocą systemu wymiany informacji w ramach Państwowej Inspekcji Sanitarnej lub za pomocą środków komunikacji elektronicznej w postaci zaszyfrowanej. Państwowy powiatowy inspektor sanitarny prowadzi powiatowy rejestr zgłoszeń NOP, a państwowy wojewódzki inspektor sanitarny prowadzi wojewódzki rejestr zgłoszeń NOP. Dane zgromadzone w rejestrze są przechowywane przez 10 lat od dnia zgłoszenia.
"
DU/2024/139,Rozporządzenie Ministra Obrony Narodowej z dnia 27 grudnia 2023 r. zmieniające rozporządzenie w sprawie bezpłatnego wyżywienia żołnierzy zawodowych Sił Zbrojnych Rzeczypospolitej Polskiej,"Rozporządzenie zmienia przepisy dotyczące bezpłatnego wyżywienia żołnierzy zawodowych. Wprowadza nowe normy wyżywienia dla żołnierzy podczas szkoleń, ćwiczeń i kursów, w zależności od ich długości.  Zmienia także przepisy dotyczące wyżywienia w przypadku pełnienia służby wewnętrznej, a także w czasie świąt.  Dodatkowo rozporządzenie wprowadza  nowe regulacje dotyczące wyżywienia żołnierzy podczas leczenia w izbach chorych lub szpitalach polowych.  Zmiany wchodzą w życie miesiąc po ogłoszeniu.
"
DU/2024/140,Rozporządzenie Ministra Obrony Narodowej z dnia 11 stycznia 2024 r. zmieniające rozporządzenie w sprawie równoważnika pieniężnego przysługującego żołnierzom zawodowym Sił Zbrojnych Rzeczypospolitej Polskiej w zamian za bezpłatne wyżywienie niewydane w naturze,"Zmiana rozporządzenia dotycząca równoważnika pieniężnego za wyżywienie dla żołnierzy zawodowych. Zmiany dotyczą okresu kształcenia (np. w uczelniach wojskowych, szkołach podoficerskich) - równoważnik przysługuje tylko w dni bez szkolenia, na przepustce lub urlopie. Wprowadzono pojęcie ""żywnościowym"" zamiast ""finansowym"". Określono, kto wypłaca równoważnik w określonych sytuacjach (np. podczas służby poza granicami). Wprowadzono zasadę wypłaty z dołu. Rozporządzenie wchodzi w życie miesiąc po ogłoszeniu. 
"
DU/2024/424,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 11 marca 2024 r. w sprawie ogłoszenia jednolitego tekstu ustawy o przeciwdziałaniu przemocy domowej,"Ustawa o przeciwdziałaniu przemocy domowej definiuje przemoc domową jako jednorazowe lub powtarzające się działania naruszające prawa lub dobra osobiste osoby doznającej przemocy. Ustawa nakłada obowiązek bezpłatnej pomocy osobom doznającym przemocy domowej, m.in. w formie poradnictwa, ochrony przed dalszym krzywdzeniem i zapewnieniem bezpiecznego schronienia. Ustawa zawiera przepisy o zadaniach organów administracji rządowej i samorządu terytorialnego w zakresie przeciwdziałania przemocy domowej, m.in. tworzenie gminnych systemów przeciwdziałania przemocy, prowadzenie poradnictwa i interwencji oraz zapewnianie miejsc w ośrodkach wsparcia. Ustawa zawiera także przepisy dotyczące procedury „Niebieskie Karty” oraz zasad postępowania wobec osób stosujących przemoc domową, m.in. skierowania do programów korekcyjno-edukacyjnych i psychologiczno-terapeutycznych. 
"
DU/2024/426,Rozporządzenie Ministra Finansów z dnia 18 marca 2024 r. w sprawie wzorów dokumentów stosowanych w egzekucji należności pieniężnych,"Rozporządzenie określa wzory dokumentów stosowanych w egzekucji administracyjnej należności pieniężnych. Wprowadza nowe wzory zawiadomień o zajęciu różnych rodzajów majątku, w tym wynagrodzenia, świadczeń rentowych, wierzytelności z rachunków bankowych, praw majątkowych i ruchomości. Wzory te zastępują dotychczasowe, które mogą być stosowane jeszcze przez 6 miesięcy od wejścia w życie rozporządzenia, ale z dołączonymi nowymi pouczeniami i informacjami o nieobowiązywaniu starych wzorów. Rozporządzenie wchodzi w życie 25 marca 2024 r. 
"
MP/2024/582,Postanowienie Prezydenta Rzeczypospolitej Polskiej z dnia 30 kwietnia 2024 r. nr 112.21.2024 w sprawie mianowania na stopień oficerski generała,"Prezydent Rzeczypospolitej Polskiej na podstawie Konstytucji i ustawy o obronie Ojczyzny mianuje generała broni Sławomira Wojciechowskiego na stopień generała. Mianowanie następuje na wniosek Ministra Obrony Narodowej. Prezydent RP i Prezes Rady Ministrów podpisali postanowienie. 
"
DU/2023/35,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 1 grudnia 2022 r. w sprawie ogłoszenia jednolitego tekstu ustawy o Polskim Bonie Turystycznym,"Ustawa o Polskim Bonie Turystycznym przyznaje 500 zł na dziecko na usługi turystyczne i hotelarskie w Polsce. W przypadku dziecka niepełnosprawnego przysługuje dodatkowo 500 zł. Płatność bonem można dokonać do 31 marca 2023 roku. Środki finansowe na realizację programu pochodzą z Funduszu Przeciwdziałania COVID-19, a po jego likwidacji - z budżetu państwa. Ustawa określa również zasady przetwarzania danych osobowych w systemie teleinformatycznym zarządzanym przez ZUS. 
"
DU/2023/11,Rozporządzenie Ministra Klimatu i Środowiska z dnia 2 listopada 2022 r. w sprawie specjalnego obszaru ochrony siedlisk Skawiński obszar łąkowy (PLH120079),"Rozporządzenie wyznacza specjalny obszar ochrony siedlisk Skawiński obszar łąkowy o powierzchni 44,13 ha w województwie małopolskim. Celem ochrony są siedliska przyrodnicze, w tym zmiennowilgotne łąki trzęślicowe i niżowe i górskie świeże łąki użytkowane ekstensywnie, oraz populacje zagrożonych wyginięciem gatunków zwierząt, takich jak czerwończyk fioletek, czerwończyk nieparek, modraszek nausitous i modraszek teleius. Rozporządzenie wchodzi w życie po 14 dniach od ogłoszenia. 
"
DU/2023/13,Rozporządzenie Ministra Zdrowia z dnia 30 grudnia 2022 r. zmieniające rozporządzenie w sprawie recept,"Rozporządzenie rozszerza uprawnienia do odbioru leków dla osób objętych ustawą o obronie Ojczyzny. Dodaje możliwość odbioru leków dla żołnierzy zawodowych i osób objętych obowiązkiem świadczeń osobistych na podstawie decyzji administracyjnej. Zmienia również przepisy dotyczące odbioru leków przez osoby posiadające uprawnienia dodatkowe dotyczące danego produktu leczniczego, środka lub wyrobu. Wprowadza nowe uprawnienia do odbioru leków dla osób posiadających uprawnienia dodatkowe po okazaniu dokumentów dotyczących służby wojskowej żołnierzy zawodowych. 
"
DU/2023/27,Ustawa z dnia 1 grudnia 2022 r. o zmianie ustawy o kuratorach sądowych,"Ustawa wprowadza święto kuratorskiej służby sądowej 25 czerwca. Wprowadza również legitymacje służbowe dla kuratorów zawodowych, społecznych i aplikantów, a także znaki identyfikacyjne. Zmienia zasady mianowania i rozwiązywania stosunku pracy z kuratorem zawodowym. Dodaje regulacje dotyczące konkursów na stanowiska kuratorskie i aplikacje kuratorskie, a także wzmacnia nadzór nad działalnością kuratorów. Wprowadza też zmiany dotyczące wynagrodzeń kuratorów, urlopów, pomocy psychologicznej i ochrony prawnej kuratorów zawodowych. 
"
DU/2023/412,Ustawa z dnia 8 lutego 2023 r. o Planie Strategicznym dla Wspólnej Polityki Rolnej na lata 2023-2027,"Ustawa określa zadania i kompetencje organów w zakresie realizacji Planu Strategicznego dla Wspólnej Polityki Rolnej na lata 2023-2027, w tym przyznawania i wypłaty pomocy finansowej. Ustala się warunki i tryb przyznawania pomocy, w tym płatności bezpośrednich, ekoschematów, płatności rolno-środowiskowo-klimatycznych, ONW i wsparcia inwestycji leśnych. Określa się również zasady wdrażania instrumentów finansowych. Ustawa zmienia szereg ustaw, w tym ustawę o scalaniu i wymianie gruntów, ustawę o lasach, ustawę o podatku dochodowym od osób prawnych, ustawę o poręczeniach i gwarancjach udzielanych przez Skarb Państwa, ustawę o grupach producentów rolnych i ich związkach, ustawę o jakości handlowej artykułów rolno-spożywczych, ustawę o kształtowaniu ustroju rolnego, ustawę o wspieraniu rozwoju obszarów wiejskich, ustawę o krajowym systemie ewidencji producentów, ustawę o organizacji rynków owoców i warzyw, ustawę o Inspekcji Weterynaryjnej, ustawę o organizacji niektórych rynków rolnych, ustawę o organizacji rynku mleka i przetworów mlecznych, ustawę o jednostkach doradztwa rolniczego, ustawę o opłacie skarbowej, ustawę o zasadach prowadzenia polityki rozwoju, ustawę o wspieraniu rozwoju obszarów wiejskich w ramach Programu Rozwoju Obszarów Wiejskich na lata 2007-2013, ustawę o Agencji Restrukturyzacji i Modernizacji Rolnictwa, ustawę o finansach publicznych, ustawę o środkach ochrony roślin, ustawę o rozwoju lokalnym z udziałem lokalnej społeczności, ustawę o wspieraniu rozwoju obszarów wiejskich w ramach Programu Rozwoju Obszarów Wiejskich na lata 2014-2020, ustawę o Krajowej Administracji Skarbowej, ustawę - Prawo wodne, ustawę o kołach gospodyń wiejskich, ustawę - Prawo zamówień publicznych, ustawę o Państwowej Inspekcji Ochrony Roślin i Nasiennictwa, ustawę o szczególnych rozwiązaniach związanych z COVID-19, ustawę o rolnictwie ekologicznym i ustawę o systemie identyfikacji i rejestracji zwierząt. Ustawa uchyla ustawę z dnia 5 lutego 2015 r. o płatnościach w ramach systemów wsparcia bezpośredniego. 
"
MP/2023/563,Uchwała nr 27/2023 Państwowej Komisji Wyborczej z dnia 29 maja 2023 r. zmieniająca uchwałę w sprawie wzorów urn wyborczych,"Uchwała wprowadza nowy przepis dotyczący urn wyborczych w lokalach wyborczych nieprzystosowanych do potrzeb osób niepełnosprawnych. W takich przypadkach stosowane będą przepisy dotyczące urn wyborczych dla osób z niepełnosprawnością. Nowe regulacje mają na celu zapewnienie równego dostępu do wyborów dla wszystkich obywateli.  Uchwała wchodzi w życie z dniem jej podjęcia. 
"
MP/2023/679,Postanowienie Prezydenta Rzeczypospolitej Polskiej z dnia 27 kwietnia 2023 r. nr rej. 158/2023 o nadaniu odznaczeń,"Prezydent Rzeczypospolitej Polskiej nadał Krzyż św. Floriana 59 osobom. Odznaczenia zostały przyznane na wniosek Ministra Spraw Wewnętrznych i Administracji, w oparciu o Konstytucję RP i ustawę o orderach i odznaczeniach. Odznaczeni zostali za zasługi w działalności ochotniczej straży pożarnej. 
"
DU/2023/2268,"Obwieszczenie Ministra Finansów z dnia 2 października 2023 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Finansów w sprawie grup podatników lub rodzajów czynności, w odniesieniu do których możliwe jest używanie kas rejestrujących mających postać oprogramowania","Akt prawny określa grupy podatników i rodzaje czynności, w których dopuszczalne jest używanie kas rejestrujących w formie oprogramowania.  Określa on m.in. usługę transportu pasażerskiego różnymi środkami transportu, usługę hotelową, gastronomiczną i usługę mycia samochodów.  Określa też daty wejścia w życie poszczególnych przepisów.  Wprowadza również nowe wyjątki dla straży pożarnych i kół gospodyń wiejskich. 
"
DU/2023/2270,Rozporządzenie Ministra Klimatu i Środowiska z dnia 11 września 2023 r. w sprawie specjalnego obszaru ochrony siedlisk Dolina Oleśnicy i Potoku Boguszyckiego (PLH020091),"Rozporządzenie wyznacza Dolinę Oleśnicy i Potoku Boguszyckiego jako Specjalny Obszar Ochrony Siedlisk (SOO). SOO obejmuje obszar 1118,81 ha w województwie dolnośląskim i ma na celu ochronę siedlisk przyrodniczych i populacji zagrożonych gatunków zwierząt. Przedmiotem ochrony na SOO są m.in. ziołorośla górskie, łąki użytkowane ekstensywnie, łęgi wierzbowe, topolowe, olszowe i jesionowe, a także gatunki zwierząt takie jak czerwończyk fioletek, czerwończyk nieparek, kumak nizinny i wydra.  
"
DU/2023/2283,Rozporządzenie Ministra Rodziny i Polityki Społecznej z dnia 14 października 2023 r. w sprawie trybu i sposobu przeprowadzania kontroli przez organy upoważnione do kontroli na podstawie ustawy o rehabilitacji zawodowej i społecznej oraz zatrudnianiu osób niepełnosprawnych,"Rozporządzenie określa zasady przeprowadzania kontroli przez organy odpowiedzialne za egzekwowanie ustawy o rehabilitacji zawodowej i społecznej oraz zatrudnianiu osób niepełnosprawnych. Kontrola może być prowadzona na różne sposoby, od kompleksowej po doraźną. Określono szczegółowe procedury, w tym wymagania dotyczące upoważnienia do kontroli, skład zespołu kontrolnego, dokumentację oraz sposób sporządzania i przekazywania protokołu kontroli. Rozporządzenie wprowadza także przepisy dotyczące wystąpień pokontrolnych, zaleceń i obowiązków kontrolowanego. 
"
DU/2023/20,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 1 grudnia 2022 r. w sprawie ogłoszenia jednolitego tekstu ustawy o języku migowym i innych środkach komunikowania się,"Ustawa określa zasady komunikowania się osób z trudnościami w komunikowaniu się z organami publicznymi, jednostkami systemu ochrony zdrowia i innymi instytucjami. Osoba uprawniona ma prawo do wyboru formy komunikacji, pomocy osoby przybranej i tłumacza języka migowego, a także do dofinansowania nauki języka migowego. Ustawa tworzy rejestr tłumaczy języka migowego i Polską Radę Języka Migowego, która doradza ministrowi ds. zabezpieczenia społecznego w kwestiach związanych z komunikacją migową. Ustawa wchodzi w życie z dniem 1 kwietnia 2012 r., z wyjątkiem przepisów dotyczących pomocy osoby przybranej, które wchodzą w życie po upływie 14 dni od dnia ogłoszenia. 
"
DU/2023/21,Obwieszczenie Marszałka Sejmu Rzeczypospolitej Polskiej z dnia 1 grudnia 2022 r. w sprawie ogłoszenia jednolitego tekstu ustawy o Funduszu Kolejowym,"Ustawa tworzy Fundusz Kolejowy zarządzany przez Bank Gospodarstwa Krajowego. Środki Funduszu pochodzą głównie z opłaty paliwowej i służą do finansowania zadań związanych z infrastrukturą kolejową, takich jak budowa, remont i utrzymanie linii kolejowych, a także do zakupu i modernizacji pojazdów kolejowych. Fundusz może również finansować lub współfinansować zakupy pojazdów kolejowych dla przewozów pasażerskich przez województwa. 
"
MP/2024/609,Uchwała Senatu Rzeczypospolitej Polskiej z dnia 4 lipca 2024 r. w 35. rocznicę pierwszego posiedzenia odrodzonego Senatu,"Uchwała Senatu upamiętnia 35. rocznicę pierwszego posiedzenia odrodzonego Senatu w 1989 roku. Dokument podkreśla znaczenie Senatu w budowaniu polskiej racji stanu i wizerunku odradzającej się Rzeczypospolitej. Zwraca uwagę na kluczową rolę Senatu w reformie samorządowej, kształtowaniu społeczeństwa obywatelskiego i opiece nad Polonią. Uchwała oddaje hołd senatorom I kadencji, podkreślając ich wkład w budowę wolnej i niepodległej Polski. 
"
DU/2023/60,Rozporządzenie Ministra Zdrowia z dnia 8 grudnia 2022 r. w sprawie programu pilotażowego badania stóp dzieci i młodzieży,"Rozporządzenie wprowadza program pilotażowy badania stóp dzieci i młodzieży w wieku 5-16 lat. Celem programu jest sprawdzenie efektywności wykrywania wad kończyn dolnych poprzez manualne badanie biomechaniki stóp i podoskopię lub komputerowe badanie stóp. Program realizowany jest przez wyłonionych w drodze naboru świadczeniodawców (maksymalnie 16) przez okres 27 miesięcy (3 miesiące organizacji, 24 realizacji, 3 ewaluacji).  Narodowy Fundusz Zdrowia finansuje program, monitoruje jego realizację i sporządza raport z wynikami. 
"
DU/2023/24,"Obwieszczenie Ministra Infrastruktury z dnia 1 grudnia 2022 r. w sprawie ogłoszenia jednolitego tekstu rozporządzenia Ministra Transportu, Budownictwa i Gospodarki Morskiej w sprawie formularza rocznego sprawozdania z działalności w zakresie przewozu towarów niebezpiecznych oraz sposobu jego wypełniania","Rozporządzenie określa wzór i sposób wypełniania formularza rocznego sprawozdania z działalności w zakresie przewozu towarów niebezpiecznych. Sprawozdanie obejmuje transport drogowy, kolejowy i żeglugą śródlądową.  Zawiera szczegółowe informacje o ilości przewożonych towarów niebezpiecznych, rodzajach operacji transportowych, sposobach przewozu oraz klasyfikacji towarów.  Uregulowane są również wytyczne dotyczące sposobu wypełniania formularza. 
"
